"","cond","cond_dur_mean","PLEX_count_mean","cond_dur_sd","PLEX_count_sd","cond_dur_min","PLEX_count_min","cond_dur_max","PLEX_count_max","cond","test_score_mean","Usability_mean","test_score_sd","Usability_sd","test_score_min","Usability_min","test_score_max","Usability_max","condition","t_diff_mean","score_mean","n_mean","t_diff_sd","score_sd","n_sd","t_diff_min","score_min","n_min","t_diff_max","score_max","n_max","group","n","mean","sd","min","max","t","n","mean","sd","min","max"
"21","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,20,37,67.3783783783784,43.6783389942578,0,100
"22","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,21,32,70.1875,44.9892012132517,0,100
"23","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,22,34,68.9411764705882,43.8675286664436,0,100
"24","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,23,11,73.8181818181818,41.8134384661634,0,100
"25","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,24,9,76.3333333333333,43.4856298103178,0,100
"26","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,25,9,74.7777777777778,43.3064018875321,0,100
"27","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,26,7,57.1428571428571,53.4522483824849,0,100
"28","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,27,6,50,54.7722557505166,0,100
"29","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,28,5,80,44.7213595499958,0,100
"30","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,29,3,70.3333333333333,51.3841739578767,11,100
"31","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,30,5,100,0,100,100
"32","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,31,2,50,70.7106781186548,0,100
"33","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,32,4,85,30,40,100
"34","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,33,2,50,70.7106781186548,0,100
"35","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,34,5,69.2,42.3225708103844,0,100
"36","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,35,3,100,0,100,100
"37","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,36,2,100,0,100,100
"38","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,37,2,76,33.9411254969543,52,100
"39","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,38,1,0,NA,0,0
"40","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,39,4,60.5,48.727131388307,0,100
"41","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,40,3,66,57.1664237118258,0,100
"42","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,41,2,100,0,100,100
"43","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,42,1,100,NA,100,100
"44","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,43,1,88,NA,88,88
"45","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,45,1,100,NA,100,100
"46","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,46,1,100,NA,100,100
